Product ID ,skuid,Manufacturer,Imageurl1 ,Imageurl2,Imageurl3,Imageurl4,Imageurl5,StockStatus,Language ,Title,Description,Currency,Country,NormalPriceWithoutVAT,DiscountPriceWithVAT,NormalPriceWithVAT,VATRate,StockQuantity,PackageWeight,AttributeColor,AttributeSize
TMXBOWL,TMXHBOWL,The Moon Exports,http://i.ebayimg.com/images/g/QmEAAOSwCGVX7rjX/s-l500.gif,http://i.ebayimg.com/images/g/nPcAAOSwzaJX7re1/s-l500.jpg,http://i.ebayimg.com/images/g/vb4AAOSwPCVX7ri2/s-l1600.jpg,http://i.ebayimg.com/images/g/3N4AAOSwzaJX7rjG/s-l500.jpg,http://i.ebayimg.com/images/g/WGEAAOSwNRdX7rjK/s-l1600.jpg,INSTOCK,en,Genuine Buffalo Horn Palm Shaving Bowl / Sauce Dish / Saucer / Dip Bowl,"medium: 4"" diameter x 1.5""H 
•polished horn 
•organic details will vary 
•each is unique 
•not watertight
 Genuine natural organic product!",USD,India,50,11.48,57.5,15,50,215,,
TMXPNTS,TMXPNTS_C,,http://i.ebayimg.com/images/g/btgAAOSwYIxX71cA/s-l1600.jpg,http://i.ebayimg.com/images/g/hjMAAOSwmfhX71cJ/s-l1600.jpg,http://i.ebayimg.com/images/g/p~cAAOSwpLNX71ci/s-l1600.jpg,http://i.ebayimg.com/images/g/uaEAAOSwOyJX71c9/s-l1600.jpg,http://i.ebayimg.com/images/g/u4AAAOSwOyJX71dZ/s-l1600.jpg,,,Combo Of 5 Cotton Capri For 6-9yr Old Kids,"Combo of 5 Cotton capri for 6-9yr old kids, 
from The Moon Exports. 



Waist: stretchable by elastic for perfect fit. 

Length: 28 inch 



**FREE SHIPPING**",USD,India,50,19,57.5,15,50,,Multi Color,M
